latency,retransmission,bandwidth,label
0.000016,0,12524850,wired
0.000023,0,12524676,wired
0.000022,0,12524730,wired
0.000019,0,12523230,wired
0.000016,0,12524790,wired
0.000022,0,12524730,wired
0.000017,0,12524850,wired
0.000014,0,12524790,wired
0.000016,0,9629964,wired
0.000018,0,12525544,wired
0.000088,0,12523714,wired
0.000014,0,12524832,wired
0.000015,0,12524790,wired
0.000016,0,12524562,wired
0.000014,0,12523826,wired
0.000015,0,12522738,wired
0.000014,0,12524782,wired
0.000014,0,12524796,wired
0.000017,0,9641190,wired
0.000024,0,12524670,wired
0.000016,0,12523812,wired
0.000013,0,12524730,wired
0.000012,0,12524616,wired
0.000012,0,3915228,wired
0.002274,209,2436367,wireless
0.004740,195,2864689,wireless
0.012034,470,2567669,wireless
0.011179,437,2086388,wireless
0.000337,0,2720474,wireless
0.000104,0,2775944,wireless
0.000169,0,2037256,wireless
0.000148,4,2278304,wireless
0.001931,3,1906754,wireless
0.000692,87,1825016,wireless
0.002013,84,1664837,wireless
0.000869,82,2101630,wireless
0.000462,0,2565892,wireless
0.000173,1,2479656,wireless
0.001931,43,2215937,wireless
0.001220,99,2121768,wireless
0.000215,1,2421964,wireless
0.004793,127,1871738,wireless
0.015596,232,1617554,wireless
0.002816,234,1859928,wireless
0.004183,68,1851747,wireless
0.000149,3,2448533,wireless
0.011138,186,2173298,wireless
0.000592,1,2878232,wireless
0.003319,85,2854128,wireless
0.000200,0,3033610,wireless
0.011047,307,1817384,wireless
0.008987,348,1979032,wireless
0.013917,378,2424320,wireless
0.009848,209,2014482,wireless
0.000378,4,1879890,wireless
0.006708,173,2020317,wireless
0.003483,158,2755484,wireless
0.000160,4,2701206,wireless
0.000901,11,2984392,wireless
0.003550,50,2389678,wireless
0.019528,221,2285654,wireless
0.005925,32,2258294,wireless
0.010672,187,2502314,wireless
0.007088,114,2366454,wireless
0.003751,16,2747924,wireless
0.003829,55,2582908,wireless
0.005887,285,1678494,wireless
0.007299,343,2768700,wireless
0.000492,2,2777330,wireless
0.008778,388,2576236,wireless
0.005131,156,2497850,wireless
0.008764,279,1786294,wireless
0.001143,117,2343320,wireless
0.001255,55,2388272,wireless
0.000496,0,2654385,wireless
0.000949,3,3139363,wireless
0.000272,2,3045488,wireless
0.000322,86,2067404,wireless
0.003359,328,1847562,wireless
0.003239,336,1903946,wireless
0.000695,104,2183635,wireless
0.002822,181,2055724,wireless
0.001285,226,1907210,wireless
0.004372,151,1749883,wireless
0.001760,114,2367722,wireless
0.002896,47,2398252,wireless
0.002929,159,2129837,wireless
0.004565,99,2399168,wireless
0.001992,70,2448484,wireless
0.000765,1,2174446,wireless
0.007331,267,1614098,wireless
0.003923,249,2111642,wireless
0.001734,33,2551508,wireless
0.001325,12,2815932,wireless
0.001366,42,1406150,wireless
